time,gFx,gFy,gFz,TgF
0.002602552,-0.1009,0.2071,0.9173,0.946
0.00292875,-0.0985,0.2061,0.9192,0.947
0.0030975,-0.0955,0.1964,0.9070,0.933
0.003310208,-0.0965,0.1959,0.9051,0.931
0.003449531,-0.0950,0.1910,0.9046,0.929
0.003581667,-0.1009,0.1851,0.9090,0.933
0.003705,-0.0906,0.1861,0.9134,0.937
0.003838802,-0.0872,0.1793,0.9104,0.932
0.005159323,-0.0887,0.1949,0.9295,0.954
0.008326354,-0.0843,0.1905,0.9353,0.958
0.009571406,-0.0858,0.2052,0.9407,0.967
0.015415052,-0.0902,0.1998,0.9505,0.975
0.015846979,-0.0902,0.1925,0.9637,0.987
0.017419948,-0.0711,0.1729,0.9627,0.981
0.019913229,-0.0706,0.1812,0.9725,0.992
0.022512552,-0.0814,0.1964,0.9783,1.001
0.025011875,-0.0838,0.2169,0.9803,1.007
0.027218333,-0.0955,0.2188,0.9793,1.008
0.031426615,-0.1014,0.2271,0.9842,1.015
0.033304948,-0.1161,0.2135,0.9725,1.002
0.035841667,-0.1132,0.2242,0.9744,1.006
0.037270625,-0.1181,0.2242,0.9847,1.017
0.039575365,-0.1283,0.2266,0.9944,1.028
0.04203875,-0.1312,0.2252,1.0003,1.034
0.044543177,-0.1400,0.2418,1.0077,1.046
0.047557708,-0.1571,0.2555,1.0126,1.056
0.049906198,-0.1601,0.2369,1.0262,1.065
0.053092708,-0.1615,0.2467,1.0292,1.071
0.054584687,-0.1815,0.2530,1.0267,1.073
0.0570075,-0.1742,0.2437,1.0238,1.067
0.059454427,-0.1732,0.2462,1.0135,1.057
0.06226099,-0.1801,0.2379,1.0061,1.049
0.065366094,-0.1840,0.2330,0.9993,1.042
0.068960312,-0.1854,0.2130,0.9930,1.032
0.070888437,-0.1874,0.2047,0.9920,1.030
0.072335885,-0.1810,0.2022,0.9783,1.015
0.07448776,-0.1825,0.1763,0.9764,1.009
0.076842083,-0.1605,0.1744,0.9725,1.001
0.080111198,-0.1557,0.1602,0.9681,0.993
0.082354479,-0.1386,0.1519,0.9690,0.991
0.084973646,-0.0892,0.1480,0.9715,0.987
0.087115365,-0.0833,0.1445,0.9832,0.997
0.089424271,-0.1053,0.1563,0.9993,1.017
0.09212474,-0.1171,0.1406,1.0042,1.021
0.094441042,-0.1190,0.1494,0.9934,1.012
0.096920417,-0.0770,0.1094,0.9754,0.985
0.099462708,-0.0677,0.1113,0.9900,0.999
0.102106979,-0.0443,0.1138,0.9993,1.007
0.104676354,-0.0316,0.1109,1.0126,1.019
0.107418646,-0.0320,0.1099,1.0150,1.021
0.109670781,-0.0277,0.1177,1.0233,1.030
0.1262125,-0.0311,0.1172,1.0150,1.022
0.12788901,-0.0174,0.1162,1.0169,1.024
0.128470312,-0.0301,0.1338,1.0082,1.017
0.129036667,-0.0355,0.1402,0.9949,1.005
0.130156927,-0.0335,0.1661,0.9964,1.011
0.130938542,-0.0403,0.1607,0.9891,1.003
0.131626719,-0.0604,0.1763,0.9876,1.005
0.13232849,-0.0618,0.2022,0.9798,1.002
0.133233802,-0.0662,0.2017,0.9695,0.992
0.142638802,-0.0770,0.2071,0.9529,0.978
0.14349349,-0.0994,0.2032,0.9339,0.961
0.14452599,-0.1019,0.2159,0.9363,0.966
0.145061198,-0.1151,0.2203,0.9358,0.968
0.145533958,-0.1224,0.2159,0.9305,0.963
0.152440052,-0.1171,0.2140,0.9412,0.972
0.152844167,-0.1166,0.2252,0.9422,0.976
0.153011146,-0.1278,0.2286,0.9485,0.984
0.154414427,-0.1229,0.2286,0.9417,0.977
0.156448906,-0.1332,0.2384,0.9378,0.977
0.158765937,-0.1200,0.2286,0.9402,0.975
0.161312135,-0.1224,0.2266,0.9251,0.960
0.16424401,-0.1141,0.2188,0.9192,0.952
0.169973125,-0.0975,0.1915,0.9095,0.934
0.170542187,-0.0858,0.1705,0.9119,0.932
0.171982708,-0.0770,0.1676,0.9197,0.938
0.174326562,-0.0682,0.1661,0.9329,0.950
0.17666901,-0.0618,0.1548,0.9505,0.965
0.179858906,-0.0736,0.1637,0.9671,0.984
0.182062865,-0.0755,0.1548,0.9685,0.984
0.184121823,-0.0740,0.1700,0.9778,0.995
0.186671771,-0.0706,0.1710,0.9891,1.006
0.189132656,-0.0584,0.1715,0.9974,1.014
0.191183646,-0.0584,0.1890,1.0160,1.035
0.194594271,-0.0433,0.1959,1.0292,1.049
0.19750276,-0.0482,0.1895,1.0472,1.065
0.199328906,-0.0418,0.2037,1.0707,1.091
0.201503802,-0.0418,0.1969,1.0702,1.089
0.204281042,-0.0540,0.1876,1.0785,1.096
0.20649349,-0.0482,0.1812,1.0829,1.099
0.208904115,-0.0550,0.1798,1.0839,1.100
0.211341406,-0.0506,0.1690,1.0834,1.098
0.214498906,-0.0428,0.1568,1.0814,1.094
0.216973073,-0.0433,0.1504,1.0751,1.086
0.219211927,-0.0399,0.1455,1.0746,1.085
0.222991823,-0.0467,0.1353,1.0741,1.084
0.224442292,-0.0452,0.1465,1.0555,1.067
0.227787031,-0.0433,0.1411,1.0414,1.052
0.230626302,-0.0545,0.1328,1.0296,1.040
0.231805521,-0.0560,0.1309,1.0248,1.035
0.234444896,-0.0613,0.1314,1.0150,1.025
0.237115417,-0.0594,0.1235,1.0042,1.014
0.239492031,-0.0623,0.1231,0.9768,0.987
0.241928177,-0.0599,0.1152,0.9759,0.984
0.244364167,-0.0643,0.1255,0.9656,0.976
0.247219479,-0.0740,0.1226,0.9593,0.970
0.251341927,-0.0687,0.1231,0.9519,0.962
0.252446198,-0.0672,0.1299,0.9524,0.964
0.254603698,-0.0613,0.1245,0.9495,0.960
0.25751375,-0.0750,0.1289,0.9280,0.940
0.259089115,-0.0643,0.1221,0.9280,0.938
0.26184599,-0.0667,0.1265,0.9261,0.937
0.277032396,-0.0731,0.1226,0.9305,0.941
0.278135833,-0.0657,0.1265,0.9427,0.953
0.278583021,-0.0809,0.1338,0.9285,0.942
0.278976302,-0.0770,0.1275,0.9407,0.952
0.279746771,-0.0887,0.1260,0.9246,0.937
0.280160156,-0.0921,0.1323,0.9114,0.926
0.280556927,-0.0794,0.1260,0.9207,0.933
0.294439167,-0.0916,0.1270,0.9226,0.936
0.295116458,-0.0980,0.1265,0.9212,0.935
0.295422656,-0.0975,0.1348,0.9202,0.935
0.295699687,-0.1073,0.1206,0.9124,0.927
0.295975208,-0.1093,0.1235,0.8943,0.909
0.296237187,-0.1038,0.1318,0.8952,0.911
0.296508542,-0.1073,0.1216,0.8957,0.910
0.299073229,-0.1029,0.1231,0.8957,0.910
0.301631927,-0.1058,0.1260,0.9080,0.923
0.304113958,-0.0970,0.1201,0.9251,0.938
0.306617552,-0.0882,0.1104,0.9407,0.951
0.308917448,-0.0506,0.1133,0.9866,0.994
0.311023542,-0.0330,0.1104,1.0326,1.039
0.314666823,-0.0179,0.1099,1.0453,1.051
0.316538542,-0.0013,0.0938,1.0565,1.061
0.31846776,0.0222,0.0864,1.0599,1.064
0.321351719,0.0212,0.0903,1.0887,1.093
0.323823594,0.0178,0.0962,1.0946,1.099
0.326347917,0.0188,0.0986,1.1014,1.106
0.330683906,0.0134,0.0903,1.0848,1.089
0.332373281,0.0027,0.0933,1.0824,1.086
0.335868437,0.0017,0.0982,1.0502,1.055
