time,gFx,gFy,gFz,TgF
9.7724E-4,-0.1581,0.5853,0.7496,0.964
0.001237656,-0.1517,0.5892,0.7496,0.966
0.002761042,-0.1552,0.5922,0.7496,0.968
0.005603021,-0.1503,0.5902,0.7492,0.965
0.008030208,-0.1469,0.5902,0.7545,0.969
0.011649063,-0.1517,0.5936,0.7667,0.981
0.013425052,-0.1395,0.5897,0.7721,0.982
0.01520474,-0.1381,0.5902,0.7741,0.983
0.017649063,-0.1391,0.5917,0.7809,0.990
0.0201975,-0.1332,0.5946,0.7833,0.992
0.022587292,-0.1259,0.6000,0.7829,0.994
0.024947188,-0.1303,0.6000,0.7912,1.001
0.027607604,-0.1117,0.5975,0.7990,1.004
0.030362188,-0.1117,0.5975,0.7990,1.004
0.032923386,-0.1171,0.5995,0.8073,1.012
0.035241094,-0.1043,0.5941,0.8132,1.012
0.037817865,-0.1033,0.6053,0.8205,1.025
0.040081458,-0.0980,0.5936,0.8303,1.025
0.044001458,-0.1038,0.5941,0.8210,1.019
0.045159219,-0.0892,0.5956,0.8288,1.025
0.047813542,-0.0823,0.5922,0.8371,1.029
0.050385625,-0.0828,0.5922,0.8244,1.018
0.052592708,-0.0828,0.5922,0.8303,1.023
0.055007188,-0.0745,0.5809,0.8288,1.015
0.057246042,-0.0687,0.5823,0.8337,1.019
0.060522656,-0.0682,0.5868,0.8298,1.019
0.062708021,-0.0692,0.5828,0.8303,1.017
0.065488594,-0.0648,0.5848,0.8274,1.015
0.067704115,-0.0672,0.5784,0.8298,1.014
0.07022974,-0.0584,0.5711,0.8298,1.009
0.073087552,-0.0604,0.5779,0.8259,1.010
0.075694531,-0.0584,0.5804,0.8283,1.013
0.079537083,-0.0604,0.5858,0.8200,1.010
0.081075573,-0.0618,0.5843,0.8230,1.011
0.084454011,-0.0628,0.5706,0.8176,0.999
0.085775104,-0.0648,0.5775,0.8151,1.001
0.088371563,-0.0657,0.5706,0.8098,0.993
0.09037,-0.0633,0.5643,0.8020,0.983
0.092943333,-0.0672,0.5584,0.7995,0.978
0.095288333,-0.0750,0.5633,0.7907,0.974
0.097493698,-0.0667,0.5682,0.7814,0.968
0.099733021,-0.0770,0.5633,0.7746,0.961
0.102170417,-0.0740,0.5623,0.7736,0.959
0.104535208,-0.0765,0.5682,0.7697,0.960
0.107488698,-0.0799,0.5623,0.7565,0.946
0.111165938,-0.0799,0.5701,0.7623,0.955
0.115248854,-0.0902,0.5662,0.7589,0.951
0.115591615,-0.0872,0.5711,0.7506,0.947
0.118741406,-0.1009,0.5770,0.7560,0.956
0.12071349,-0.0867,0.5735,0.7521,0.950
0.122609792,-0.0931,0.5740,0.7619,0.958
0.12468099,-0.0848,0.5687,0.7672,0.959
0.127399792,-0.0950,0.5716,0.7599,0.956
0.130410677,-0.0916,0.5677,0.7653,0.957
0.132593698,-0.0980,0.5657,0.7697,0.960
0.134908958,-0.1004,0.5701,0.7658,0.960
0.137304479,-0.1117,0.5638,0.7653,0.957
0.139486511,-0.1019,0.5652,0.7677,0.959
0.143115625,-0.1019,0.5701,0.7653,0.960
0.14478974,-0.1083,0.5613,0.7594,0.951
0.147137604,-0.1073,0.5633,0.7584,0.951
