time,gFx,gFy,gFz,TgF
0.001580261,-0.3995,0.3205,0.7150,0.879
0.001866094,-0.4043,0.3219,0.7262,0.891
0.00204625,-0.4107,0.3268,0.7340,0.902
0.002206719,-0.4195,0.3258,0.7492,0.918
0.0052525,-0.4200,0.3214,0.7653,0.930
0.005861042,-0.4234,0.3190,0.7863,0.948
0.007727136,-0.4170,0.3210,0.7990,0.957
0.010412032,-0.4175,0.3170,0.8029,0.959
0.012716875,-0.4170,0.3175,0.8308,0.982
0.015204323,-0.4195,0.3117,0.8459,0.994
0.02590948,-0.4234,0.3073,0.8571,1.004
0.026372188,-0.4112,0.3039,0.8689,1.008
0.026579271,-0.4107,0.3039,0.8708,1.010
0.026775677,-0.4146,0.3068,0.8864,1.026
0.028060052,-0.4175,0.3024,0.8903,1.029
0.030216459,-0.4053,0.2946,0.8899,1.021
0.033622605,-0.4180,0.3058,0.8884,1.028
0.04743849,-0.4161,0.3078,0.9095,1.046
0.047894011,-0.4107,0.3068,0.8923,1.029
0.048082605,-0.4224,0.2990,0.9006,1.039
0.048342813,-0.4185,0.3063,0.8972,1.036
0.048525469,-0.4126,0.3136,0.8874,1.028
0.04872224,-0.4112,0.3127,0.8781,1.019
0.050013438,-0.4082,0.3136,0.8825,1.022
0.05296224,-0.3975,0.3166,0.8718,1.009
0.056598073,-0.3970,0.3000,0.8654,0.998
0.057577917,-0.3882,0.2951,0.8615,0.990
0.059882188,-0.3916,0.2897,0.8596,0.988
0.062538959,-0.3829,0.2853,0.8610,0.985
0.064532032,-0.3775,0.2907,0.8571,0.981
0.067323542,-0.3726,0.2809,0.8459,0.966
0.070454584,-0.3697,0.2848,0.8361,0.958
0.07248599,-0.3599,0.2912,0.8274,0.948
0.074831875,-0.3658,0.2765,0.8103,0.931
0.077780573,-0.3550,0.2858,0.8093,0.929
0.080751302,-0.3516,0.2775,0.8039,0.920
0.082113907,-0.3565,0.2760,0.7931,0.912
0.086104323,-0.3521,0.2736,0.7887,0.906
0.087379792,-0.3604,0.2858,0.7785,0.904
0.089725573,-0.3511,0.2663,0.7907,0.905
0.092752761,-0.3477,0.2579,0.7936,0.904
0.094699323,-0.3492,0.2525,0.7981,0.907
0.097359948,-0.3467,0.2398,0.7931,0.898
0.099678229,-0.3394,0.2340,0.7848,0.886
0.103114584,-0.3301,0.2315,0.7819,0.880
0.104640886,-0.3247,0.2247,0.7770,0.872
0.107070677,-0.3218,0.2223,0.7726,0.866
0.109888959,-0.3194,0.2169,0.7731,0.864
0.112131407,-0.3139,0.2198,0.7848,0.873
0.114375157,-0.3213,0.2096,0.7814,0.870
0.117024167,-0.3243,0.1993,0.7594,0.849
0.121036407,-0.3199,0.2130,0.7697,0.860
0.122214271,-0.3208,0.2188,0.7672,0.860
0.124641927,-0.3154,0.2081,0.7716,0.859
0.127057761,-0.3208,0.2105,0.7736,0.864
0.129735729,-0.3189,0.2130,0.7667,0.857
0.132551094,-0.3051,0.2120,0.7609,0.847
0.136711146,-0.3003,0.2047,0.7789,0.860
0.138388959,-0.2910,0.2066,0.7824,0.860
0.140929375,-0.2837,0.2169,0.8088,0.884
0.142954896,-0.2734,0.2164,0.8195,0.891
0.145047344,-0.2715,0.2213,0.8303,0.901
0.147269948,-0.2607,0.2135,0.8444,0.909
0.150468907,-0.2509,0.2169,0.8479,0.910
0.153732032,-0.2524,0.2066,0.8484,0.909
0.155220573,-0.2500,0.2105,0.8557,0.916
0.157562917,-0.2539,0.1949,0.8635,0.921
0.160067604,-0.2392,0.1934,0.8620,0.915
0.162641823,-0.2407,0.1851,0.8669,0.919
0.1649425,-0.2363,0.1705,0.8596,0.908
0.167279115,-0.2285,0.1720,0.8640,0.910
0.170218802,-0.2290,0.1632,0.8879,0.931
0.172598073,-0.2187,0.1543,0.8801,0.920
0.174937188,-0.2163,0.1411,0.8669,0.905
0.177500261,-0.2226,0.1309,0.8669,0.905
0.179920521,-0.2187,0.0825,0.8318,0.864
0.182728438,-0.1874,0.0718,0.8493,0.873
0.186101407,-0.1781,0.0772,0.8825,0.904
0.187928594,-0.1864,0.0737,0.9119,0.934
0.190100729,-0.1874,0.0591,0.9280,0.949
